Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
South Africa,ZAF,2011,"ICT service exports (% of service exports, BoP)",BX.GSR.CCIS.ZS,3.11536018698604
South Africa,ZAF,2010,"ICT service exports (% of service exports, BoP)",BX.GSR.CCIS.ZS,2.8724753591844
South Africa,ZAF,2009,"ICT service exports (% of service exports, BoP)",BX.GSR.CCIS.ZS,2.68669099734112
South Africa,ZAF,2008,"ICT service exports (% of service exports, BoP)",BX.GSR.CCIS.ZS,2.44432412903752
South Africa,ZAF,2007,"ICT service exports (% of service exports, BoP)",BX.GSR.CCIS.ZS,2.39266750059408
South Africa,ZAF,2006,"ICT service exports (% of service exports, BoP)",BX.GSR.CCIS.ZS,3.05044174489998
South Africa,ZAF,2005,"ICT service exports (% of service exports, BoP)",BX.GSR.CCIS.ZS,2.73239194728745
South Africa,ZAF,2004,"ICT service exports (% of service exports, BoP)",BX.GSR.CCIS.ZS,2.59344325623264
South Africa,ZAF,2003,"ICT service exports (% of service exports, BoP)",BX.GSR.CCIS.ZS,2.23557639004895
South Africa,ZAF,2002,"ICT service exports (% of service exports, BoP)",BX.GSR.CCIS.ZS,2.57179561667237
South Africa,ZAF,2001,"ICT service exports (% of service exports, BoP)",BX.GSR.CCIS.ZS,2.72336553312225
South Africa,ZAF,2000,"ICT service exports (% of service exports, BoP)",BX.GSR.CCIS.ZS,0.991962793463322
South Africa,ZAF,1999,"ICT service exports (% of service exports, BoP)",BX.GSR.CCIS.ZS,1.1089972857057
South Africa,ZAF,1998,"ICT service exports (% of service exports, BoP)",BX.GSR.CCIS.ZS,1.08462868750236
South Africa,ZAF,1997,"ICT service exports (% of service exports, BoP)",BX.GSR.CCIS.ZS,1.16774655893991
South Africa,ZAF,1996,"ICT service exports (% of service exports, BoP)",BX.GSR.CCIS.ZS,1.24485212143673
South Africa,ZAF,1995,"ICT service exports (% of service exports, BoP)",BX.GSR.CCIS.ZS,0.441670815069682
South Africa,ZAF,1994,"ICT service exports (% of service exports, BoP)",BX.GSR.CCIS.ZS,0.411396936232293
South Africa,ZAF,1993,"ICT service exports (% of service exports, BoP)",BX.GSR.CCIS.ZS,0.242938713728486
South Africa,ZAF,1992,"ICT service exports (% of service exports, BoP)",BX.GSR.CCIS.ZS,0.177456111486211
South Africa,ZAF,1991,"ICT service exports (% of service exports, BoP)",BX.GSR.CCIS.ZS,0.12426744847003
South Africa,ZAF,1990,"ICT service exports (% of service exports, BoP)",BX.GSR.CCIS.ZS,0.112277378206092
South Africa,ZAF,1989,"ICT service exports (% of service exports, BoP)",BX.GSR.CCIS.ZS,0.0908487369825299
South Africa,ZAF,1988,"ICT service exports (% of service exports, BoP)",BX.GSR.CCIS.ZS,0.0727432403583742
South Africa,ZAF,1987,"ICT service exports (% of service exports, BoP)",BX.GSR.CCIS.ZS,0.0835610218856003
South Africa,ZAF,1986,"ICT service exports (% of service exports, BoP)",BX.GSR.CCIS.ZS,0.0910755500588292
South Africa,ZAF,1985,"ICT service exports (% of service exports, BoP)",BX.GSR.CCIS.ZS,0.102924710922747
South Africa,ZAF,1976,"ICT service exports (% of service exports, BoP)",BX.GSR.CCIS.ZS,0.0897666068222621
